size,codigo_distrito,parking,codigo_tipo,piscina,total_rooms,price
326.0,63,1,6,1,9,4500.0
60.0,69,0,2,0,3,650.0
110.0,61,1,2,0,4,1000.0
200.0,37,1,5,1,8,2500.0
71.0,69,0,2,0,3,900.0
95.0,69,0,2,0,4,1500.0
60.0,69,0,2,0,2,1000.0
75.0,69,0,2,0,3,850.0
100.0,53,1,2,1,5,900.0
115.0,38,1,2,1,5,986.0
120.0,38,1,2,1,5,982.0
75.0,69,0,2,0,3,1099.0
103.0,69,0,2,0,6,1100.0
70.0,70,0,2,0,3,850.0
65.0,70,1,2,0,3,1510.0
40.0,60,1,2,0,2,790.0
100.0,60,0,2,0,4,900.0
65.0,57,0,2,0,3,650.0
50.0,69,0,2,0,2,550.0
92.0,55,0,2,0,5,900.0
92.0,55,0,2,0,5,880.0
71.0,55,0,2,0,4,815.0
92.0,55,1,2,0,5,960.0
92.0,55,1,2,0,5,940.0
71.0,55,1,2,0,4,875.0
88.0,66,0,2,0,5,995.0
83.0,62,0,2,0,3,800.0
80.0,40,1,2,0,3,450.0
150.0,70,0,2,0,5,1200.0
60.0,69,0,2,0,3,860.0
64.0,66,0,2,0,3,850.0
115.0,70,1,2,0,5,1200.0
133.0,69,0,2,0,7,2000.0
100.0,70,1,2,0,4,2400.0
110.0,45,1,2,1,5,1000.0
103.0,47,1,2,1,5,900.0
140.0,69,1,2,0,5,1350.0
50.0,70,1,2,1,2,900.0
136.0,57,0,2,0,6,1200.0
165.0,70,1,2,0,7,2300.0
50.0,42,0,2,0,2,575.0
119.0,55,1,2,0,4,800.0
35.0,60,0,1,0,1,650.0
50.0,69,0,2,0,2,700.0
251.0,52,1,7,1,6,2500.0
80.0,66,0,2,0,3,850.0
494.0,63,1,7,1,12,5000.0
50.0,55,1,2,1,2,630.0
50.0,70,1,2,1,2,999.0
78.0,66,0,2,0,4,1050.0
70.0,69,0,2,0,3,1100.0
121.0,69,0,2,0,4,1550.0
68.0,69,0,5,0,3,1500.0
92.0,69,0,5,1,3,1380.0
51.0,69,0,2,0,2,700.0
95.0,70,0,2,0,5,950.0
90.0,62,0,2,0,3,900.0
90.0,60,0,2,0,5,940.0
80.0,48,0,2,0,4,650.0
110.0,62,0,2,0,5,850.0
52.0,56,0,2,0,2,580.0
80.0,66,0,2,0,4,1050.0
120.0,69,0,2,0,6,1300.0
60.0,69,0,2,0,2,745.0
178.0,60,1,2,0,6,1600.0
129.0,66,0,2,0,6,1200.0
35.0,55,1,1,1,1,525.0
63.0,60,0,2,0,2,875.0
50.0,69,0,2,0,2,950.0
120.0,69,0,4,0,4,1100.0
125.0,60,1,2,0,4,950.0
40.0,66,0,2,0,2,700.0
60.0,69,0,2,0,3,900.0
75.0,69,0,2,0,3,800.0
50.0,69,0,2,0,2,650.0
109.0,62,0,5,1,4,1350.0
60.0,65,0,2,0,2,900.0
175.0,62,0,2,0,7,1550.0
124.0,48,1,5,1,6,1300.0
86.0,38,0,2,0,4,680.0
40.0,66,0,2,0,2,700.0
55.0,69,1,2,0,2,1000.0
120.0,69,0,2,0,6,1200.0
125.0,62,0,2,0,6,1200.0
120.0,65,0,2,0,5,1200.0
70.0,69,0,2,0,3,740.0
318.0,53,1,7,1,6,3500.0
110.0,70,0,2,0,5,1100.0
96.0,40,0,2,0,5,950.0
100.0,70,1,2,1,3,1500.0
245.0,39,1,7,1,7,1800.0
200.0,14,1,3,0,7,990.0
100.0,57,0,2,0,6,1000.0
66.0,66,0,2,0,2,970.0
115.0,65,0,2,0,5,1100.0
54.0,69,0,2,0,2,1100.0
140.0,70,0,2,0,5,1600.0
78.0,66,0,2,0,3,720.0
77.0,36,0,2,0,3,550.0
130.0,3,0,4,1,5,800.0
114.0,69,1,2,0,5,1100.0
127.0,19,1,2,1,5,800.0
110.0,66,0,2,0,5,1200.0
100.0,62,0,2,0,5,1250.0
176.0,20,0,4,1,5,1100.0
442.0,36,1,7,1,12,4500.0
125.0,56,0,7,0,6,900.0
121.0,69,0,2,0,6,1250.0
79.0,69,0,2,0,2,795.0
30.0,41,1,1,0,1,375.0
103.0,65,0,2,0,4,1110.0
135.0,70,0,1,0,2,1850.0
